input_id	tool	organism	id_system	n_pathways_returned	seconds	status
tcga_cancer__PRAD_DESeq2	clusterProfiler_ORA	human	symbol	50	2.48	ok
tcga_cancer__PRAD_edgeR	fgsea	human	symbol	50	1.56	ok
tcga_cancer__PRAD_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__PRAD_edgeR	clusterProfiler_ORA	human	symbol	50	2.49	ok
tcga_cancer__PRAD_limma	fgsea	human	symbol	50	1.61	ok
tcga_cancer__PRAD_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__PRAD_limma	clusterProfiler_ORA	human	symbol	50	2.5	ok
tcga_cancer__READ_DESeq2	fgsea	human	symbol	50	1.52	ok
tcga_cancer__READ_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__READ_DESeq2	clusterProfiler_ORA	human	symbol	50	2.46	ok
tcga_cancer__READ_edgeR	fgsea	human	symbol	50	1.64	ok
tcga_cancer__READ_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__READ_edgeR	clusterProfiler_ORA	human	symbol	50	2.49	ok
tcga_cancer__READ_limma	fgsea	human	symbol	50	1.45	ok
tcga_cancer__READ_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__READ_limma	clusterProfiler_ORA	human	symbol	50	2.47	ok
tcga_cancer__STAD_DESeq2	fgsea	human	symbol	50	1.8	ok
tcga_cancer__STAD_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__STAD_DESeq2	clusterProfiler_ORA	human	symbol	50	2.76	ok
tcga_cancer__STAD_edgeR	fgsea	human	symbol	50	1.86	ok
tcga_cancer__STAD_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__STAD_edgeR	clusterProfiler_ORA	human	symbol	50	2.75	ok
tcga_cancer__STAD_limma	fgsea	human	symbol	50	1.99	ok
tcga_cancer__STAD_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__STAD_limma	clusterProfiler_ORA	human	symbol	50	2.75	ok
tcga_cancer__THCA_DESeq2	fgsea	human	symbol	50	1.46	ok
tcga_cancer__THCA_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__THCA_DESeq2	clusterProfiler_ORA	human	symbol	50	2.49	ok
tcga_cancer__THCA_edgeR	fgsea	human	symbol	50	1.47	ok
tcga_cancer__THCA_edgeR	gseapy_enrichr	human	symbol	50	0.02	ok
tcga_cancer__THCA_edgeR	clusterProfiler_ORA	human	symbol	50	2.46	ok
tcga_cancer__THCA_limma	fgsea	human	symbol	50	1.47	ok
tcga_cancer__THCA_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__THCA_limma	clusterProfiler_ORA	human	symbol	50	2.42	ok
tcga_cancer__UCEC_DESeq2	fgsea	human	symbol	50	1.75	ok
tcga_cancer__UCEC_DESeq2	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__UCEC_DESeq2	clusterProfiler_ORA	human	symbol	50	2.7	ok
tcga_cancer__UCEC_edgeR	fgsea	human	symbol	50	1.72	ok
tcga_cancer__UCEC_edgeR	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__UCEC_edgeR	clusterProfiler_ORA	human	symbol	50	2.69	ok
tcga_cancer__UCEC_limma	fgsea	human	symbol	50	1.82	ok
tcga_cancer__UCEC_limma	gseapy_enrichr	human	symbol	50	0.01	ok
tcga_cancer__UCEC_limma	clusterProfiler_ORA	human	symbol	50	2.7	ok
census_scrna__16023185_pseudobulk	fgsea	human	symbol	50	1.55	ok
census_scrna__16023185_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__16023185_pseudobulk	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__16023185_wilcoxon	fgsea	human	symbol	50	1.36	ok
census_scrna__16023185_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__16023185_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__19053a82_pseudobulk	fgsea	human	symbol	50	1.36	ok
census_scrna__19053a82_pseudobulk	gseapy_enrichr	human	symbol	21	0.01	ok
census_scrna__19053a82_pseudobulk	clusterProfiler_ORA	human	symbol	21	2.39	ok
census_scrna__19053a82_wilcoxon	fgsea	human	symbol	50	1.36	ok
census_scrna__19053a82_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__19053a82_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__218acb0f_pseudobulk	fgsea	human	symbol	49	1.44	ok
census_scrna__218acb0f_pseudobulk	gseapy_enrichr	human	symbol	49	0.01	ok
census_scrna__218acb0f_pseudobulk	clusterProfiler_ORA	human	symbol	49	2.38	ok
census_scrna__218acb0f_wilcoxon	fgsea	human	symbol	50	1.4	ok
census_scrna__218acb0f_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__218acb0f_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.38	ok
census_scrna__37a17b78_pseudobulk	fgsea	human	symbol	50	1.3	ok
census_scrna__37a17b78_pseudobulk	gseapy_enrichr	human	symbol	43	0.01	ok
census_scrna__37a17b78_pseudobulk	clusterProfiler_ORA	human	symbol	43	2.39	ok
census_scrna__37a17b78_wilcoxon	fgsea	human	symbol	50	1.34	ok
census_scrna__37a17b78_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__37a17b78_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__49e4ffcc_pseudobulk	fgsea	human	symbol	0	0.85	ok
census_scrna__49e4ffcc_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__49e4ffcc_pseudobulk	clusterProfiler_ORA	human	symbol	0	2.38	ok
census_scrna__49e4ffcc_wilcoxon	fgsea	human	symbol	0	0.84	ok
census_scrna__49e4ffcc_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__49e4ffcc_wilcoxon	clusterProfiler_ORA	human	symbol	0	2.37	ok
census_scrna__4a5b00e0_pseudobulk	fgsea	human	symbol	50	1.45	ok
census_scrna__4a5b00e0_pseudobulk	gseapy_enrichr	human	symbol	48	0.01	ok
census_scrna__4a5b00e0_pseudobulk	clusterProfiler_ORA	human	symbol	48	2.39	ok
census_scrna__4a5b00e0_wilcoxon	fgsea	human	symbol	50	1.34	ok
census_scrna__4a5b00e0_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__4a5b00e0_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.4	ok
census_scrna__5c97eeeb_pseudobulk	fgsea	human	symbol	50	1.37	ok
census_scrna__5c97eeeb_pseudobulk	gseapy_enrichr	human	symbol	40	0.01	ok
census_scrna__5c97eeeb_pseudobulk	clusterProfiler_ORA	human	symbol	40	2.39	ok
census_scrna__5c97eeeb_wilcoxon	fgsea	human	symbol	50	1.32	ok
census_scrna__5c97eeeb_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__5c97eeeb_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.38	ok
census_scrna__5d6d404a_wilcoxon	fgsea	human	symbol	0	0.85	ok
census_scrna__5d6d404a_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__5d6d404a_wilcoxon	clusterProfiler_ORA	human	symbol	0	2.39	ok
census_scrna__5e57cd50_pseudobulk	fgsea	human	symbol	50	1.34	ok
census_scrna__5e57cd50_pseudobulk	gseapy_enrichr	human	symbol	0	0.0	ok
census_scrna__5e57cd50_pseudobulk	clusterProfiler_ORA	human	symbol	0	2.37	ok
census_scrna__5e57cd50_wilcoxon	fgsea	human	symbol	50	1.32	ok
census_scrna__5e57cd50_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__5e57cd50_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.38	ok
census_scrna__67b6b9ac_pseudobulk	fgsea	human	symbol	50	1.43	ok
census_scrna__67b6b9ac_pseudobulk	gseapy_enrichr	human	symbol	46	0.01	ok
census_scrna__67b6b9ac_pseudobulk	clusterProfiler_ORA	human	symbol	46	2.39	ok
census_scrna__67b6b9ac_wilcoxon	fgsea	human	symbol	50	1.36	ok
census_scrna__67b6b9ac_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__67b6b9ac_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.4	ok
census_scrna__6a270451_pseudobulk	fgsea	human	symbol	50	1.39	ok
census_scrna__6a270451_pseudobulk	gseapy_enrichr	human	symbol	0	0.0	ok
census_scrna__6a270451_pseudobulk	clusterProfiler_ORA	human	symbol	0	2.37	ok
census_scrna__6a270451_wilcoxon	fgsea	human	symbol	50	1.35	ok
census_scrna__6a270451_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__6a270451_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.4	ok
census_scrna__6f7fd0f1_pseudobulk	fgsea	human	symbol	50	1.38	ok
census_scrna__6f7fd0f1_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__6f7fd0f1_pseudobulk	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__6f7fd0f1_wilcoxon	fgsea	human	symbol	50	1.34	ok
census_scrna__6f7fd0f1_wilcoxon	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__6f7fd0f1_wilcoxon	clusterProfiler_ORA	human	symbol	50	2.39	ok
census_scrna__7b6bab5a_wilcoxon	fgsea	mouse	symbol	50	1.36	ok
census_scrna__7b6bab5a_wilcoxon	gseapy_enrichr	mouse	symbol	50	0.01	ok
census_scrna__7b6bab5a_wilcoxon	clusterProfiler_ORA	mouse	symbol	50	2.6	ok
census_scrna__9dbab10c_pseudobulk	fgsea	human	symbol	50	1.46	ok
census_scrna__9dbab10c_pseudobulk	gseapy_enrichr	human	symbol	50	0.01	ok
census_scrna__9dbab10c_pseudobulk	clusterProfiler_ORA	human	symbol	50	2.38	ok
census_scrna__9dbab10c_wilcoxon	fgsea	human	symbol	50	1.36	ok
