input_id	comparison_id	input_category	tool_a	tool_b	top_10_jaccard	top_25_jaccard	fdr05_overlap_jaccard	fdr01_overlap_jaccard	spearman_full_rank	pearson_neglog10padj	direction_agreement
census_scrna__7b6bab5a_wilcoxon	7b6bab5a	census_scrna	fgsea	clusterProfiler_ORA	0.17647058823529413	0.42857142857142855	0.2	0.14285714285714285	0.19477283680569915	0.25006677817454576	0.46
census_scrna__7b6bab5a_wilcoxon	7b6bab5a	census_scrna	gseapy_enrichr	clusterProfiler_ORA	1.0	0.9230769230769231	0.5882352941176471	0.5833333333333334	0.97229218746853	0.989597909719331	0.84
census_scrna__9dbab10c_pseudobulk	9dbab10c	census_scrna	fgsea	gseapy_enrichr	0.42857142857142855	0.5625	0.8571428571428571	0.6	0.680741187519771	0.9171025972039042	0.38
census_scrna__9dbab10c_pseudobulk	9dbab10c	census_scrna	fgsea	clusterProfiler_ORA	0.42857142857142855	0.5151515151515151	0.8571428571428571	0.6	0.680741187519771	0.9178387553166507	0.36
census_scrna__9dbab10c_pseudobulk	9dbab10c	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.42857142857142855	0.47058823529411764	1.0	1.0	0.9999999999999998	0.9999642969220817	0.98
census_scrna__9dbab10c_wilcoxon	9dbab10c	census_scrna	fgsea	gseapy_enrichr	0.3333333333333333	0.42857142857142855	0.16666666666666666	0.2	0.41381321078496036	0.4177464746464838	0.76
census_scrna__9dbab10c_wilcoxon	9dbab10c	census_scrna	fgsea	clusterProfiler_ORA	0.25	0.42857142857142855	0.25	0.0	0.3797242117688039	0.3845936792085674	0.72
census_scrna__9dbab10c_wilcoxon	9dbab10c	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	0.9230769230769231	0.6	0.25	0.9787329878581149	0.9840170302368954	0.96
census_scrna__9f222629_pseudobulk	9f222629	census_scrna	fgsea	gseapy_enrichr	0.6666666666666666	0.6129032258064516	0.5384615384615384	0.43478260869565216	0.7824709646884722	0.9261724475560167	0.62
census_scrna__9f222629_pseudobulk	9f222629	census_scrna	fgsea	clusterProfiler_ORA	0.6666666666666666	0.6129032258064516	0.42857142857142855	0.4444444444444444	0.7376139665971422	0.9102836874560074	0.58
census_scrna__9f222629_pseudobulk	9f222629	census_scrna	gseapy_enrichr	clusterProfiler_ORA	1.0	0.9230769230769231	0.47368421052631576	0.5333333333333333	0.9516832026708317	0.9916213866526642	0.88
census_scrna__9f222629_wilcoxon	9f222629	census_scrna	fgsea	gseapy_enrichr	0.42857142857142855	0.35135135135135137	0.0	0.0	0.18023164048896265	0.1748586367101101	0.5
census_scrna__9f222629_wilcoxon	9f222629	census_scrna	fgsea	clusterProfiler_ORA	0.3333333333333333	0.35135135135135137	0.0	0.0	0.18764749295956276	0.1761512968368712	0.5
census_scrna__9f222629_wilcoxon	9f222629	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	1.0			0.9949021000290927	0.9985095076444839	0.96
census_scrna__a19d1667_pseudobulk	a19d1667	census_scrna	fgsea	gseapy_enrichr	0.25	0.5151515151515151	0.0	0.0	0.29031404982639186		0.4186046511627907
census_scrna__a19d1667_pseudobulk	a19d1667	census_scrna	fgsea	clusterProfiler_ORA	0.17647058823529413	0.47058823529411764	0.0	0.0	0.38493965275764835		0.46511627906976744
census_scrna__a19d1667_pseudobulk	a19d1667	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.6666666666666666	0.6129032258064516	1.0	1.0	0.7614378270384237	0.9998945748739173	0.96
census_scrna__a19d1667_wilcoxon	a19d1667	census_scrna	fgsea	gseapy_enrichr	0.1111111111111111	0.35135135135135137	0.05555555555555555	0.0	0.2668446070153804	0.6364120977259532	0.52
census_scrna__a19d1667_wilcoxon	a19d1667	census_scrna	fgsea	clusterProfiler_ORA	0.1111111111111111	0.47058823529411764	0.0	0.0	0.2519505872868183	0.6423749565991271	0.52
census_scrna__a19d1667_wilcoxon	a19d1667	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.8181818181818182	0.6666666666666666	0.0		0.9040759670626286	0.9912874753352146	1.0
census_scrna__a48343a2_pseudobulk	a48343a2	census_scrna	fgsea	gseapy_enrichr	0.17647058823529413	0.35135135135135137	0.19047619047619047	0.1	0.2823854756136896	0.5204808871801544	0.74
census_scrna__a48343a2_pseudobulk	a48343a2	census_scrna	fgsea	clusterProfiler_ORA	0.17647058823529413	0.35135135135135137	0.0625	0.0	0.22279792127147016	0.529549793408545	0.64
census_scrna__a48343a2_pseudobulk	a48343a2	census_scrna	gseapy_enrichr	clusterProfiler_ORA	1.0	0.9230769230769231	0.2	0.0	0.9740015205186576	0.9706516221741268	0.74
census_scrna__a48343a2_wilcoxon	a48343a2	census_scrna	fgsea	gseapy_enrichr	0.3333333333333333	0.35135135135135137	0.0	0.0	0.25142912433349157	0.19536303392243715	0.58
census_scrna__a48343a2_wilcoxon	a48343a2	census_scrna	fgsea	clusterProfiler_ORA	0.3333333333333333	0.35135135135135137	0.0	0.0	0.19987196502528637	0.133904245184598	0.5
census_scrna__a48343a2_wilcoxon	a48343a2	census_scrna	gseapy_enrichr	clusterProfiler_ORA	0.6666666666666666	0.8518518518518519			0.8309489698388166	0.8890111188198704	0.84
