input_id	database	organism	id_system	n_pathways_returned	seconds	status
tcga_cancer__READ_edgeR	c2_wikipathways	human	symbol	913	1.76	ok
tcga_cancer__READ_edgeR	c5_go_bp	human	symbol	6964	4.77	ok
tcga_cancer__READ_limma	hallmark	human	symbol	50	1.45	ok
tcga_cancer__READ_limma	c2_kegg	human	symbol	186	1.61	ok
tcga_cancer__READ_limma	c2_reactome	human	symbol	1770	2.39	ok
tcga_cancer__READ_limma	c2_wikipathways	human	symbol	913	1.76	ok
tcga_cancer__READ_limma	c5_go_bp	human	symbol	6964	4.43	ok
tcga_cancer__STAD_DESeq2	hallmark	human	symbol	50	1.78	ok
tcga_cancer__STAD_DESeq2	c2_kegg	human	symbol	186	1.56	ok
tcga_cancer__STAD_DESeq2	c2_reactome	human	symbol	1782	2.37	ok
tcga_cancer__STAD_DESeq2	c2_wikipathways	human	symbol	922	1.83	ok
tcga_cancer__STAD_DESeq2	c5_go_bp	human	symbol	7072	5.17	ok
tcga_cancer__STAD_edgeR	hallmark	human	symbol	50	1.86	ok
tcga_cancer__STAD_edgeR	c2_kegg	human	symbol	186	1.56	ok
tcga_cancer__STAD_edgeR	c2_reactome	human	symbol	1782	2.36	ok
tcga_cancer__STAD_edgeR	c2_wikipathways	human	symbol	922	1.81	ok
tcga_cancer__STAD_edgeR	c5_go_bp	human	symbol	7072	4.97	ok
tcga_cancer__STAD_limma	hallmark	human	symbol	50	1.96	ok
tcga_cancer__STAD_limma	c2_kegg	human	symbol	186	1.59	ok
tcga_cancer__STAD_limma	c2_reactome	human	symbol	1782	2.41	ok
tcga_cancer__STAD_limma	c2_wikipathways	human	symbol	922	1.98	ok
tcga_cancer__STAD_limma	c5_go_bp	human	symbol	7072	5.43	ok
tcga_cancer__THCA_DESeq2	hallmark	human	symbol	50	1.43	ok
tcga_cancer__THCA_DESeq2	c2_kegg	human	symbol	186	1.49	ok
tcga_cancer__THCA_DESeq2	c2_reactome	human	symbol	1759	1.96	ok
tcga_cancer__THCA_DESeq2	c2_wikipathways	human	symbol	905	1.69	ok
tcga_cancer__THCA_DESeq2	c5_go_bp	human	symbol	6871	3.72	ok
tcga_cancer__THCA_edgeR	hallmark	human	symbol	50	1.45	ok
tcga_cancer__THCA_edgeR	c2_kegg	human	symbol	186	1.49	ok
tcga_cancer__THCA_edgeR	c2_reactome	human	symbol	1759	1.98	ok
tcga_cancer__THCA_edgeR	c2_wikipathways	human	symbol	905	1.71	ok
tcga_cancer__THCA_edgeR	c5_go_bp	human	symbol	6871	3.84	ok
tcga_cancer__THCA_limma	hallmark	human	symbol	50	1.48	ok
tcga_cancer__THCA_limma	c2_kegg	human	symbol	186	1.5	ok
tcga_cancer__THCA_limma	c2_reactome	human	symbol	1759	2.19	ok
tcga_cancer__THCA_limma	c2_wikipathways	human	symbol	905	1.76	ok
tcga_cancer__THCA_limma	c5_go_bp	human	symbol	6871	4.11	ok
tcga_cancer__UCEC_DESeq2	hallmark	human	symbol	50	1.74	ok
tcga_cancer__UCEC_DESeq2	c2_kegg	human	symbol	186	1.55	ok
tcga_cancer__UCEC_DESeq2	c2_reactome	human	symbol	1787	2.78	ok
tcga_cancer__UCEC_DESeq2	c2_wikipathways	human	symbol	914	1.76	ok
tcga_cancer__UCEC_DESeq2	c5_go_bp	human	symbol	7036	5.52	ok
tcga_cancer__UCEC_edgeR	hallmark	human	symbol	50	1.74	ok
tcga_cancer__UCEC_edgeR	c2_kegg	human	symbol	186	1.56	ok
tcga_cancer__UCEC_edgeR	c2_reactome	human	symbol	1787	2.81	ok
tcga_cancer__UCEC_edgeR	c2_wikipathways	human	symbol	914	1.74	ok
tcga_cancer__UCEC_edgeR	c5_go_bp	human	symbol	7036	5.23	ok
tcga_cancer__UCEC_limma	hallmark	human	symbol	50	1.84	ok
tcga_cancer__UCEC_limma	c2_kegg	human	symbol	186	1.54	ok
tcga_cancer__UCEC_limma	c2_reactome	human	symbol	1787	3.43	ok
tcga_cancer__UCEC_limma	c2_wikipathways	human	symbol	914	1.75	ok
tcga_cancer__UCEC_limma	c5_go_bp	human	symbol	7036	5.4	ok
census_scrna__16023185_pseudobulk	hallmark	human	symbol	50	1.56	ok
census_scrna__16023185_pseudobulk	c2_kegg	human	symbol	185	1.48	ok
census_scrna__16023185_pseudobulk	c2_reactome	human	symbol	1546	2.49	ok
census_scrna__16023185_pseudobulk	c2_wikipathways	human	symbol	814	1.63	ok
census_scrna__16023185_pseudobulk	c5_go_bp	human	symbol	5589	4.01	ok
census_scrna__16023185_wilcoxon	hallmark	human	symbol	50	1.38	ok
census_scrna__16023185_wilcoxon	c2_kegg	human	symbol	185	1.41	ok
