input_id	input_category	database	n_pathways_returned	n_sig_padj_05	n_sig_padj_01	frac_sig_padj_05	median_abs_NES_sig
tcga_cancer__HNSC_limma	tcga_cancer	hallmark	50	31	26	0.62	1.81814031868817
tcga_cancer__HNSC_limma	tcga_cancer	c2_kegg	186	65	45	0.3495	1.82652171361597
tcga_cancer__HNSC_limma	tcga_cancer	c2_reactome	1767	415	290	0.2349	1.79534377980257
tcga_cancer__HNSC_limma	tcga_cancer	c2_wikipathways	912	151	83	0.1656	1.77929338178781
tcga_cancer__HNSC_limma	tcga_cancer	c5_go_bp	7017	583	340	0.0831	1.80612135924001
tcga_cancer__KICH_DESeq2	tcga_cancer	hallmark	50	17	11	0.34	1.58954432277258
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_kegg	186	20	10	0.1075	1.789947267052485
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_reactome	1763	78	28	0.0442	1.7122961156222951
tcga_cancer__KICH_DESeq2	tcga_cancer	c2_wikipathways	911	32	12	0.0351	1.760074434001785
tcga_cancer__KICH_DESeq2	tcga_cancer	c5_go_bp	6967	178	94	0.0255	1.756841899450545
tcga_cancer__KICH_edgeR	tcga_cancer	hallmark	50	20	13	0.4	1.58051052556831
tcga_cancer__KICH_edgeR	tcga_cancer	c2_kegg	186	34	17	0.1828	1.7913609562623152
tcga_cancer__KICH_edgeR	tcga_cancer	c2_reactome	1763	191	100	0.1083	1.72239752592902
tcga_cancer__KICH_edgeR	tcga_cancer	c2_wikipathways	911	50	22	0.0549	1.7488056039563098
tcga_cancer__KICH_edgeR	tcga_cancer	c5_go_bp	6967	292	152	0.0419	1.75528285368804
tcga_cancer__KICH_limma	tcga_cancer	hallmark	50	19	15	0.38	1.67538680515832
tcga_cancer__KICH_limma	tcga_cancer	c2_kegg	186	31	19	0.1667	1.75339586733647
tcga_cancer__KICH_limma	tcga_cancer	c2_reactome	1763	257	131	0.1458	1.74783158470029
tcga_cancer__KICH_limma	tcga_cancer	c2_wikipathways	911	69	24	0.0757	1.71074014017139
tcga_cancer__KICH_limma	tcga_cancer	c5_go_bp	6967	439	227	0.063	1.70737117915696
tcga_cancer__KIRC_DESeq2	tcga_cancer	hallmark	50	27	26	0.54	1.69890236343214
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_kegg	186	54	46	0.2903	1.856788785254765
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_reactome	1769	105	56	0.0594	1.80929232255185
tcga_cancer__KIRC_DESeq2	tcga_cancer	c2_wikipathways	913	92	43	0.1008	1.788876686659985
tcga_cancer__KIRC_DESeq2	tcga_cancer	c5_go_bp	7005	453	269	0.0647	1.7889209133189
tcga_cancer__KIRC_edgeR	tcga_cancer	hallmark	50	25	24	0.5	1.6988053850743
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_kegg	186	60	45	0.3226	1.875363192655785
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_reactome	1769	127	75	0.0718	1.81971204905351
tcga_cancer__KIRC_edgeR	tcga_cancer	c2_wikipathways	913	103	58	0.1128	1.81120478907573
tcga_cancer__KIRC_edgeR	tcga_cancer	c5_go_bp	7005	509	311	0.0727	1.79188838433807
tcga_cancer__KIRC_limma	tcga_cancer	hallmark	50	29	27	0.58	1.74180634076434
tcga_cancer__KIRC_limma	tcga_cancer	c2_kegg	186	61	49	0.328	1.89333228236623
tcga_cancer__KIRC_limma	tcga_cancer	c2_reactome	1769	206	124	0.1164	1.7765872092135
tcga_cancer__KIRC_limma	tcga_cancer	c2_wikipathways	913	146	81	0.1599	1.82355458661379
tcga_cancer__KIRC_limma	tcga_cancer	c5_go_bp	7005	895	581	0.1278	1.79053673773127
tcga_cancer__KIRP_DESeq2	tcga_cancer	hallmark	50	15	12	0.3	1.64761284204891
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_kegg	186	28	12	0.1505	1.7647002274950951
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_reactome	1777	166	81	0.0934	1.79040318727556
tcga_cancer__KIRP_DESeq2	tcga_cancer	c2_wikipathways	916	46	24	0.0502	1.864017455839745
tcga_cancer__KIRP_DESeq2	tcga_cancer	c5_go_bp	7007	537	251	0.0766	1.74115828012794
tcga_cancer__KIRP_edgeR	tcga_cancer	hallmark	50	19	15	0.38	1.64921576711973
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_kegg	186	35	23	0.1882	1.79631515747586
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_reactome	1777	242	114	0.1362	1.760785042657215
tcga_cancer__KIRP_edgeR	tcga_cancer	c2_wikipathways	916	78	36	0.0852	1.75010783420523
tcga_cancer__KIRP_edgeR	tcga_cancer	c5_go_bp	7007	742	321	0.1059	1.721811119545455
tcga_cancer__KIRP_limma	tcga_cancer	hallmark	50	22	19	0.44	1.59847631711428
tcga_cancer__KIRP_limma	tcga_cancer	c2_kegg	186	56	26	0.3011	1.63488329360249
tcga_cancer__KIRP_limma	tcga_cancer	c2_reactome	1777	320	198	0.1801	1.75261248479164
tcga_cancer__KIRP_limma	tcga_cancer	c2_wikipathways	916	90	54	0.0983	1.75221499872112
tcga_cancer__KIRP_limma	tcga_cancer	c5_go_bp	7007	958	491	0.1367	1.66788010891278
tcga_cancer__LIHC_DESeq2	tcga_cancer	hallmark	50	28	26	0.56	1.859080728510615
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_kegg	186	40	27	0.2151	1.806827899622655
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_reactome	1767	228	141	0.129	1.76044281695238
tcga_cancer__LIHC_DESeq2	tcga_cancer	c2_wikipathways	915	133	71	0.1454	1.81601868985536
tcga_cancer__LIHC_DESeq2	tcga_cancer	c5_go_bp	6923	484	274	0.0699	1.795440990562915
tcga_cancer__LIHC_edgeR	tcga_cancer	hallmark	50	13	13	0.26	1.66815441030268
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_kegg	186	36	29	0.1935	1.901558648568435
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_reactome	1767	207	118	0.1171	1.77481879999456
tcga_cancer__LIHC_edgeR	tcga_cancer	c2_wikipathways	915	124	80	0.1355	1.94938953269792
tcga_cancer__LIHC_edgeR	tcga_cancer	c5_go_bp	6923	427	266	0.0617	1.81242143047134
tcga_cancer__LIHC_limma	tcga_cancer	hallmark	50	36	32	0.72	1.8048734300561349
tcga_cancer__LIHC_limma	tcga_cancer	c2_kegg	186	58	40	0.3118	1.81176975836708
tcga_cancer__LIHC_limma	tcga_cancer	c2_reactome	1767	390	277	0.2207	1.830527117560205
tcga_cancer__LIHC_limma	tcga_cancer	c2_wikipathways	915	194	105	0.212	1.76506630352081
tcga_cancer__LIHC_limma	tcga_cancer	c5_go_bp	6923	1071	626	0.1547	1.74072567170173
tcga_cancer__LUAD_DESeq2	tcga_cancer	hallmark	50	26	22	0.52	1.723624487547755
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_kegg	186	48	38	0.2581	1.7222944560856899
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_reactome	1782	338	223	0.1897	1.74193739817593
tcga_cancer__LUAD_DESeq2	tcga_cancer	c2_wikipathways	915	114	60	0.1246	1.73781042250731
tcga_cancer__LUAD_DESeq2	tcga_cancer	c5_go_bp	7059	968	570	0.1371	1.735246280950905
tcga_cancer__LUAD_edgeR	tcga_cancer	hallmark	50	28	25	0.56	1.669413849628045
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_kegg	186	63	45	0.3387	1.69398903606375
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_reactome	1782	389	238	0.2183	1.73875926306113
tcga_cancer__LUAD_edgeR	tcga_cancer	c2_wikipathways	915	154	91	0.1683	1.770451506263555
tcga_cancer__LUAD_edgeR	tcga_cancer	c5_go_bp	7059	1179	704	0.167	1.75364155596023
tcga_cancer__LUAD_limma	tcga_cancer	hallmark	50	35	27	0.7	1.71785119891067
tcga_cancer__LUAD_limma	tcga_cancer	c2_kegg	186	81	52	0.4355	1.67146516812484
tcga_cancer__LUAD_limma	tcga_cancer	c2_reactome	1782	516	333	0.2896	1.775740730063095
tcga_cancer__LUAD_limma	tcga_cancer	c2_wikipathways	915	204	101	0.223	1.6801110545080702
tcga_cancer__LUAD_limma	tcga_cancer	c5_go_bp	7059	1640	976	0.2323	1.686316725175455
tcga_cancer__LUSC_DESeq2	tcga_cancer	hallmark	50	29	28	0.58	1.81321460350723
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_kegg	186	47	37	0.2527	1.77672887206048
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_reactome	1783	357	222	0.2002	1.74720340187544
tcga_cancer__LUSC_DESeq2	tcga_cancer	c2_wikipathways	915	169	73	0.1847	1.71125725462449
tcga_cancer__LUSC_DESeq2	tcga_cancer	c5_go_bp	7041	1136	650	0.1613	1.7198575124736402
tcga_cancer__LUSC_edgeR	tcga_cancer	hallmark	50	33	28	0.66	1.86927960106279
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_kegg	186	53	43	0.2849	1.81955711015031
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_reactome	1783	429	276	0.2406	1.78865810909093
tcga_cancer__LUSC_edgeR	tcga_cancer	c2_wikipathways	915	202	99	0.2208	1.755756067505625
tcga_cancer__LUSC_edgeR	tcga_cancer	c5_go_bp	7041	1328	800	0.1886	1.79375636827506
tcga_cancer__LUSC_limma	tcga_cancer	hallmark	50	35	28	0.7	1.85968388978208
tcga_cancer__LUSC_limma	tcga_cancer	c2_kegg	186	68	48	0.3656	1.80698020055952
tcga_cancer__LUSC_limma	tcga_cancer	c2_reactome	1783	538	363	0.3017	1.7990693759353151
tcga_cancer__LUSC_limma	tcga_cancer	c2_wikipathways	915	200	111	0.2186	1.76742488591519
tcga_cancer__LUSC_limma	tcga_cancer	c5_go_bp	7041	1646	986	0.2338	1.716005903697545
tcga_cancer__PRAD_DESeq2	tcga_cancer	hallmark	50	26	21	0.52	1.742199003659975
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_kegg	186	45	32	0.2419	1.71352698713173
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_reactome	1765	309	186	0.1751	1.76934304647147
tcga_cancer__PRAD_DESeq2	tcga_cancer	c2_wikipathways	911	124	64	0.1361	1.737824302447455
tcga_cancer__PRAD_DESeq2	tcga_cancer	c5_go_bp	6979	944	478	0.1353	1.71946849110029
tcga_cancer__PRAD_edgeR	tcga_cancer	hallmark	50	27	21	0.54	1.74575745761889
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_kegg	186	46	36	0.2473	1.712022406444085
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_reactome	1765	355	191	0.2011	1.75307832943196
tcga_cancer__PRAD_edgeR	tcga_cancer	c2_wikipathways	911	129	65	0.1416	1.75998490635471
