input_id	input_category	db_a	db_b	leading_edge_gene_jaccard_sig05	n_sig_pathway_names_shared	direction_concordance_on_shared	n_genes_unique_to_a	n_genes_unique_to_b	n_sig_genes_a	n_sig_genes_b
tcga_cancer__COAD_limma	tcga_cancer	c2_wikipathways	c5_go_bp	0.3066	0		242	3592	1937	5287
tcga_cancer__ESCA_DESeq2	tcga_cancer	hallmark	c2_kegg	0.2305	0		839	486	1236	883
tcga_cancer__ESCA_DESeq2	tcga_cancer	hallmark	c2_reactome	0.2516	0		471	1805	1236	2570
tcga_cancer__ESCA_DESeq2	tcga_cancer	hallmark	c2_wikipathways	0.2717	0		641	954	1236	1549
tcga_cancer__ESCA_DESeq2	tcga_cancer	hallmark	c5_go_bp	0.2255	0		266	3066	1236	4036
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_kegg	c2_reactome	0.2728	0		143	1830	883	2570
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_kegg	c2_wikipathways	0.3594	0		240	906	883	1549
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_kegg	c5_go_bp	0.1954	0		79	3232	883	4036
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_reactome	c2_wikipathways	0.3827	0		1430	409	2570	1549
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_reactome	c5_go_bp	0.4657	0		471	1937	2570	4036
tcga_cancer__ESCA_DESeq2	tcga_cancer	c2_wikipathways	c5_go_bp	0.3074	0		236	2723	1549	4036
tcga_cancer__ESCA_edgeR	tcga_cancer	hallmark	c2_kegg	0.2277	0		832	623	1261	1052
tcga_cancer__ESCA_edgeR	tcga_cancer	hallmark	c2_reactome	0.2473	0		455	1998	1261	2804
tcga_cancer__ESCA_edgeR	tcga_cancer	hallmark	c2_wikipathways	0.2604	0		677	982	1261	1566
tcga_cancer__ESCA_edgeR	tcga_cancer	hallmark	c5_go_bp	0.2222	0		268	3208	1261	4201
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_kegg	c2_reactome	0.2992	0		164	1916	1052	2804
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_kegg	c2_wikipathways	0.3558	0		365	879	1052	1566
tcga_cancer__ESCA_edgeR	tcga_cancer	c2_kegg	c5_go_bp	0.225	0		87	3236	1052	4201
