pathway_id	pathway_name	gene_entrez
R-MMU-1266738	Mus musculus: Developmental Biology	20346
R-MMU-1266738	Mus musculus: Developmental Biology	20349
R-MMU-1266738	Mus musculus: Developmental Biology	20351
R-MMU-1266738	Mus musculus: Developmental Biology	20354
R-MMU-1266738	Mus musculus: Developmental Biology	20361
R-MMU-1266738	Mus musculus: Developmental Biology	20404
R-MMU-1266738	Mus musculus: Developmental Biology	20416
R-MMU-1266738	Mus musculus: Developmental Biology	20418
R-MMU-1266738	Mus musculus: Developmental Biology	20450
R-MMU-1266738	Mus musculus: Developmental Biology	20452
R-MMU-1266738	Mus musculus: Developmental Biology	20466
R-MMU-1266738	Mus musculus: Developmental Biology	20563
R-MMU-1266738	Mus musculus: Developmental Biology	20564
R-MMU-1266738	Mus musculus: Developmental Biology	20602
R-MMU-1266738	Mus musculus: Developmental Biology	20662
R-MMU-1266738	Mus musculus: Developmental Biology	20665
R-MMU-1266738	Mus musculus: Developmental Biology	20739
R-MMU-1266738	Mus musculus: Developmental Biology	20740
R-MMU-1266738	Mus musculus: Developmental Biology	20742
R-MMU-1266738	Mus musculus: Developmental Biology	20743
R-MMU-1266738	Mus musculus: Developmental Biology	20766
R-MMU-1266738	Mus musculus: Developmental Biology	20779
R-MMU-1266738	Mus musculus: Developmental Biology	208117
R-MMU-1266738	Mus musculus: Developmental Biology	20862
R-MMU-1266738	Mus musculus: Developmental Biology	20907
R-MMU-1266738	Mus musculus: Developmental Biology	213469
R-MMU-1266738	Mus musculus: Developmental Biology	213498
R-MMU-1266738	Mus musculus: Developmental Biology	21386
R-MMU-1266738	Mus musculus: Developmental Biology	21406
R-MMU-1266738	Mus musculus: Developmental Biology	21413
R-MMU-1266738	Mus musculus: Developmental Biology	21414
R-MMU-1266738	Mus musculus: Developmental Biology	21415
R-MMU-1266738	Mus musculus: Developmental Biology	21416
R-MMU-1266738	Mus musculus: Developmental Biology	21418
R-MMU-1266738	Mus musculus: Developmental Biology	21419
R-MMU-1266738	Mus musculus: Developmental Biology	21420
R-MMU-1266738	Mus musculus: Developmental Biology	21423
R-MMU-1266738	Mus musculus: Developmental Biology	214968
R-MMU-1266738	Mus musculus: Developmental Biology	215798
R-MMU-1266738	Mus musculus: Developmental Biology	216443
R-MMU-1266738	Mus musculus: Developmental Biology	216963
R-MMU-1266738	Mus musculus: Developmental Biology	21816
R-MMU-1266738	Mus musculus: Developmental Biology	218397
R-MMU-1266738	Mus musculus: Developmental Biology	21894
R-MMU-1266738	Mus musculus: Developmental Biology	21943
R-MMU-1266738	Mus musculus: Developmental Biology	22142
R-MMU-1266738	Mus musculus: Developmental Biology	22143
R-MMU-1266738	Mus musculus: Developmental Biology	22144
R-MMU-1266738	Mus musculus: Developmental Biology	22145
R-MMU-1266738	Mus musculus: Developmental Biology	22146
R-MMU-1266738	Mus musculus: Developmental Biology	22147
R-MMU-1266738	Mus musculus: Developmental Biology	22151
R-MMU-1266738	Mus musculus: Developmental Biology	22152
R-MMU-1266738	Mus musculus: Developmental Biology	22153
R-MMU-1266738	Mus musculus: Developmental Biology	22177
R-MMU-1266738	Mus musculus: Developmental Biology	22186
R-MMU-1266738	Mus musculus: Developmental Biology	22187
R-MMU-1266738	Mus musculus: Developmental Biology	22190
R-MMU-1266738	Mus musculus: Developmental Biology	22196
R-MMU-1266738	Mus musculus: Developmental Biology	22218
R-MMU-1266738	Mus musculus: Developmental Biology	22240
R-MMU-1266738	Mus musculus: Developmental Biology	22278
R-MMU-1266738	Mus musculus: Developmental Biology	22323
R-MMU-1266738	Mus musculus: Developmental Biology	22325
R-MMU-1266738	Mus musculus: Developmental Biology	223435
R-MMU-1266738	Mus musculus: Developmental Biology	22350
R-MMU-1266738	Mus musculus: Developmental Biology	22359
R-MMU-1266738	Mus musculus: Developmental Biology	223881
R-MMU-1266738	Mus musculus: Developmental Biology	223915
R-MMU-1266738	Mus musculus: Developmental Biology	223917
R-MMU-1266738	Mus musculus: Developmental Biology	224105
R-MMU-1266738	Mus musculus: Developmental Biology	22416
