cluster	rank	gene	score
13	4	LILRA4	25.322519302368164
13	5	UGCG	25.295190811157227
13	6	CCDC50	25.29374122619629
13	7	JCHAIN	25.293376922607422
13	8	IRF7	25.27298927307129
13	9	SEC61B	25.253379821777344
13	10	TCF4	25.120361328125
13	11	MZB1	25.11429786682129
13	12	IL3RA	25.03664207458496
13	13	APP	24.9105167388916
13	14	SERPINF1	24.837360382080078
13	15	ALOX5AP	24.662857055664062
13	16	C12orf75	24.647947311401367
13	17	HERPUD1	24.531944274902344
13	18	BCL11A	24.521337509155273
13	19	GZMB	24.492944717407227
13	20	CLEC4C	24.383996963500977
13	21	PLAC8	24.315614700317383
13	22	SPCS1	24.192054748535156
13	23	SPIB	24.18899154663086
13	24	NPC2	23.982852935791016
13	25	HSP90B1	23.89939308166504
13	26	TXN	23.791324615478516
13	27	SELENOS	23.430814743041992
13	28	DERL3	23.394207000732422
13	29	TSPAN13	23.31759262084961
13	30	RNASE6	23.219446182250977
13	31	GAPT	23.196086883544922
13	32	DNASE1L3	23.125961303710938
13	33	PARK7	22.97554588317871
13	34	MAPKAPK2	22.709484100341797
13	35	VAMP8	22.705347061157227
13	36	CLIC3	22.66996192932129
13	37	PTPRE	22.642847061157227
13	38	PPIB	22.637788772583008
13	39	STMN1	22.53954315185547
13	40	PTCRA	22.492477416992188
13	41	PLEK	22.484540939331055
13	42	CYB561A3	22.40826988220215
13	43	SMPD3	22.394729614257812
13	44	IGKC	22.342788696289062
13	45	TPM2	22.269224166870117
13	46	CD74	22.20050621032715
13	47	RRBP1	22.116830825805664
13	48	VEGFB	21.943584442138672
13	49	SCT	21.927186965942383
14	0	LST1	54.5911750793457
14	1	AIF1	53.72907257080078
14	2	COTL1	53.0980224609375
14	3	FCGR3A	53.0071907043457
14	4	FCER1G	52.7330322265625
14	5	MS4A7	52.730934143066406
14	6	PELATON	52.06564712524414
14	7	SAT1	52.03339767456055
14	8	FTH1	51.98346710205078
14	9	PSAP	50.90130615234375
14	10	SERPINA1	50.642974853515625
14	11	FTL	50.61226272583008
14	12	LYN	50.129695892333984
14	13	CDKN1C	49.86600112915039
14	14	S100A11	49.84791564941406
14	15	CEBPB	49.41185760498047
14	16	CFD	48.909332275390625
14	17	SPI1	48.853431701660156
14	18	IFITM3	48.77290344238281
14	19	TNFRSF1B	48.589664459228516
14	20	OAZ1	47.84502410888672
14	21	PILRA	47.816097259521484
14	22	LRRC25	47.763938903808594
14	23	PECAM1	47.57896423339844
14	24	CST3	47.4685173034668
14	25	CD68	47.23954772949219
14	26	IFITM2	47.23801803588867
14	27	NPC2	47.10052490234375
14	28	S100A4	46.42567443847656
14	29	CSF1R	46.21449661254883
14	30	TYROBP	46.2074089050293
14	31	TCF7L2	46.080692291259766
14	32	ARPC3	45.94336700439453
14	33	CTSS	45.81560134887695
14	34	HCK	45.811344146728516
14	35	LILRB2	45.72190475463867
14	36	RHOC	45.703025817871094
14	37	HMOX1	45.6720085144043
14	38	TYMP	45.57872009277344
14	39	ASAH1	45.54271697998047
14	40	STXBP2	45.487640380859375
14	41	MYL6	45.45722198486328
14	42	BID	45.3470344543457
14	43	YBX1	45.28936767578125
14	44	ANXA5	45.06250762939453
14	45	FGL2	45.02021026611328
14	46	BRI3	44.962852478027344
14	47	MAFB	44.78003692626953
14	48	HLA-DPA1	44.15458679199219
14	49	PYCARD	44.152732849121094
15	0	JCHAIN	12.113790512084961
15	1	TNFRSF17	12.104585647583008
15	2	MZB1	12.083818435668945
15	3	PPIB	12.038293838500977
15	4	UBE2J1	11.890490531921387
15	5	SEC11C	11.88149642944336
15	6	SUB1	11.853147506713867
15	7	ITM2C	11.838250160217285
15	8	SSR4	11.780852317810059
15	9	HSP90B1	11.655611038208008
15	10	SSR3	11.45335578918457
15	11	PDIA6	11.424384117126465
15	12	MYDGF	11.40626335144043
15	13	XBP1	11.38875961303711
15	14	HSPA5	11.363228797912598
15	15	DERL3	11.271306037902832
15	16	SPCS2	11.261011123657227
15	17	PDIA4	11.168237686157227
15	18	POU2AF1	11.157098770141602
15	19	TENT5C	11.0784330368042
15	20	EAF2	10.977910995483398
15	21	ISG20	10.966082572937012
15	22	SPCS1	10.901164054870605
15	23	SDF2L1	10.836861610412598
15	24	SEC61B	10.781258583068848
15	25	LMAN1	10.722832679748535
15	26	CALR	10.72098159790039
15	27	MANF	10.68687915802002
15	28	OSTC	10.647941589355469
15	29	P4HB	10.63344955444336
15	30	FKBP11	10.61024284362793
15	31	TXNDC11	10.477498054504395
15	32	GNG7	10.45398998260498
15	33	IGHA1	10.43143367767334
15	34	ZBP1	10.35704231262207
15	35	TNFRSF13B	10.354023933410645
15	36	CD38	10.328810691833496
15	37	SPCS3	10.328221321105957
15	38	TXNDC5	10.32754898071289
15	39	CD79A	10.313591003417969
15	40	ERLEC1	10.245137214660645
15	41	KDELR2	10.196165084838867
15	42	SELENOS	10.173919677734375
15	43	RPN2	10.074204444885254
15	44	TMEM258	10.016772270202637
