cluster	rank	gene	score
8	43	AP2S1	21.648548126220703
8	44	CFP	21.496967315673828
8	45	GRN	21.49357032775879
8	46	JAML	21.410444259643555
8	47	ACTG1	21.392263412475586
8	48	IGSF6	21.367023468017578
8	49	SHTN1	21.239320755004883
9	0	IRF8	26.223928451538086
9	1	ITM2C	26.153886795043945
9	2	PPP1R14B	26.072275161743164
9	3	PLD4	26.063013076782227
9	4	UGCG	26.042526245117188
9	5	LILRA4	26.02758026123047
9	6	CCDC50	25.976125717163086
9	7	TCF4	25.91724395751953
9	8	SEC61B	25.811098098754883
9	9	IRF7	25.737682342529297
9	10	APP	25.6682186126709
9	11	JCHAIN	25.601459503173828
9	12	IL3RA	25.50362205505371
9	13	MZB1	25.301862716674805
9	14	C12orf75	25.284902572631836
9	15	CLEC4C	25.22869873046875
9	16	SERPINF1	25.19345474243164
9	17	HERPUD1	25.170082092285156
9	18	BCL11A	25.0427303314209
9	19	ALOX5AP	25.037391662597656
9	20	PLAC8	25.031570434570312
9	21	SPIB	24.934326171875
9	22	TXN	24.322345733642578
9	23	HSP90B1	24.2956600189209
9	24	SPCS1	24.243759155273438
9	25	NPC2	24.208553314208984
9	26	GZMB	24.187639236450195
9	27	RNASE6	23.844491958618164
9	28	TSPAN13	23.74242401123047
9	29	GAPT	23.616127014160156
9	30	DNASE1L3	23.543725967407227
9	31	PARK7	23.511917114257812
9	32	SELENOS	23.468212127685547
9	33	VAMP8	23.200132369995117
9	34	PTPRE	23.183385848999023
9	35	PPIB	23.085500717163086
9	36	CYB561A3	23.05100440979004
9	37	DERL3	22.999589920043945
9	38	CLIC3	22.964550018310547
9	39	PLEK	22.81946563720703
9	40	CD74	22.805965423583984
9	41	IGKC	22.680212020874023
9	42	MAPKAPK2	22.669958114624023
9	43	STMN1	22.667362213134766
9	44	SCT	22.394105911254883
9	45	SMPD3	22.252445220947266
9	46	CCDC88A	22.20696449279785
9	47	VEGFB	22.035839080810547
9	48	TPM2	22.01880645751953
9	49	TAGLN2	22.001068115234375
10	0	NKG7	97.53963470458984
10	1	GNLY	96.19575500488281
10	2	KLRD1	94.6108627319336
10	3	CST7	92.21295166015625
10	4	PRF1	91.67195892333984
10	5	KLRF1	91.02944946289062
10	6	GZMA	89.38632202148438
10	7	CTSW	89.35907745361328
10	8	HOPX	88.2750015258789
10	9	GZMB	86.06641387939453
10	10	CD247	82.86021423339844
10	11	IFITM2	81.75663757324219
10	12	CD7	80.09228515625
10	13	CLIC3	80.01409149169922
10	14	EFHD2	79.95096588134766
10	15	FGFBP2	78.70356750488281
10	16	JAK1	77.89398956298828
10	17	FCGR3A	75.21597290039062
10	18	HCST	74.70549774169922
10	19	SPON2	74.06693267822266
10	20	FCER1G	73.23280334472656
10	21	B2M	73.00239562988281
10	22	ARL4C	71.81634521484375
10	23	SRGN	71.50521087646484
10	24	PLEK	71.46611022949219
10	25	TRDC	71.41288757324219
10	26	PLAC8	70.75031280517578
10	27	RAP1B	70.73704528808594
10	28	KLRB1	70.48950958251953
10	29	GZMM	69.96151733398438
10	30	ABHD17A	69.724853515625
10	31	CCL4	69.68782043457031
10	32	PFN1	68.92213439941406
10	33	CD63	66.77110290527344
10	34	MATK	65.74095153808594
10	35	SAMD3	65.49065399169922
10	36	IL2RB	65.1902847290039
10	37	TYROBP	64.69572448730469
10	38	CALM1	64.0168228149414
10	39	ID2	63.740234375
10	40	HLA-C	63.5062255859375
10	41	HLA-B	63.32383728027344
10	42	CYBA	62.800559997558594
10	43	UBB	62.15764236450195
10	44	CLIC1	62.01597213745117
10	45	SEPTIN7	61.99480438232422
10	46	ITGB2	61.59638977050781
10	47	APMAP	60.000484466552734
10	48	MBP	59.68360137939453
10	49	MYL12A	58.3286247253418
11	0	IGKC	86.73894500732422
11	1	CD79A	82.66947937011719
11	2	MS4A1	81.4757080078125
11	3	CD74	80.76109313964844
11	4	CD37	80.10810089111328
11	5	HLA-DRA	79.3399887084961
11	6	CD79B	77.88365936279297
11	7	HLA-DPB1	77.23859405517578
11	8	HLA-DPA1	75.76193237304688
11	9	BANK1	75.05046081542969
11	10	HLA-DQA1	74.96086883544922
11	11	IGHM	73.0323257446289
11	12	RALGPS2	72.3390121459961
11	13	HLA-DRB1	72.21166229248047
11	14	HLA-DQB1	69.42253112792969
11	15	LINC00926	63.39675521850586
11	16	IGHD	62.500465393066406
11	17	MEF2C	58.96017074584961
11	18	TNFRSF13C	58.47999954223633
