cluster	rank	gene	score
13	3	FTL	30.161487579345703
13	4	TMSB4X	25.27256202697754
13	5	RPL7	23.933958053588867
13	6	B2M	23.826663970947266
13	7	SAT1	19.933359146118164
13	8	TPSAB1	19.37710189819336
13	9	TYROBP	18.827608108520508
13	10	DUSP1	18.419736862182617
13	11	HLA-DRA	17.557353973388672
13	12	FCER1G	17.551176071166992
13	13	HLA-DPB1	16.462690353393555
13	14	RPS20	16.45821189880371
13	15	GPX1	15.88364028930664
13	16	SRGN	15.291204452514648
13	17	SOD2	15.23061466217041
13	18	FOS	14.649065017700195
13	19	NEAT1	14.513614654541016
13	20	GLUL	14.314170837402344
13	21	TXN	14.02226734161377
13	22	CTSD	13.542468070983887
13	23	RPL21	13.511487007141113
13	24	CST3	13.457521438598633
13	25	H3-3B	13.299052238464355
13	26	JCHAIN	13.161956787109375
13	27	PSAP	12.82236385345459
13	28	CTSB	12.618965148925781
13	29	NPC2	12.538217544555664
13	30	HSPA1B	12.460671424865723
13	31	EGR1	12.445257186889648
13	32	TYMP	11.890209197998047
13	33	ZFP36	11.847112655639648
13	34	CXCL9	11.836325645446777
13	35	CPA3	11.791569709777832
13	36	MT-CO1	11.785594940185547
13	37	RASGEF1B	11.750887870788574
13	38	NFKBIA	11.610309600830078
13	39	SGK1	11.390311241149902
13	40	LITAF	11.321304321289062
13	41	RPL13A	11.307310104370117
13	42	MALAT1	11.215310096740723
13	43	HSPA1A	11.175379753112793
13	44	C1orf56	11.120964050292969
13	45	CTNNB1	11.037341117858887
13	46	LST1	10.916960716247559
13	47	RPL27A	10.887179374694824
13	48	STAT1	10.859899520874023
13	49	CXCL8	10.824374198913574
14	0	IL32	19.325565338134766
14	1	RPS10	19.27754783630371
14	2	RPL30	18.843914031982422
14	3	CD3E	18.7564697265625
14	4	H4C3	18.01041030883789
14	5	HSPA8	17.799894332885742
14	6	DNAJA1	17.79245948791504
14	7	RPL11	17.582921981811523
14	8	MALAT1	17.475425720214844
14	9	RPL8	17.429386138916016
14	10	S100A4	17.321760177612305
14	11	PABPC1	17.199365615844727
14	12	RPS3	16.71735382080078
14	13	PFN1	16.629045486450195
14	14	MYL12A	16.38936424255371
14	15	RPS21	16.38702392578125
14	16	IL7R	16.307870864868164
14	17	RPL5	16.247516632080078
14	18	RPS8	16.229442596435547
14	19	HLA-B	16.183774948120117
14	20	RPS4Y1	16.073808670043945
14	21	RSRP1	16.02390480041504
14	22	RPL14	16.01593017578125
14	23	ARHGDIB	15.478556632995605
14	24	ANXA1	15.353123664855957
