	n_genes_by_counts	total_counts	pct_counts_mt	doublet_class	doublet_score	celltypist_label	leiden_r1.0	leiden_r0.5	leiden_r1.5
17246729	1282	3946.0	10.0861635	singlet	0.162596642971039	Activated CD4 T	0	0	0
17246732	1226	3933.0	10.043224	singlet	0.135344281792641	Activated CD4 T	0	0	0
17246736	1213	3888.0	9.207819	singlet	0.00642127869650722	Activated CD4 T	0	0	0
17246737	1216	3854.0	11.338869	doublet	0.999392509460449	Activated CD8 T	0	0	0
17246742	1190	3852.0	6.1266875	doublet	0.999491453170776	Activated CD4 T	0	0	0
17246744	1208	3831.0	10.388932	singlet	0.0101473769173026	NK cell	3	3	8
17246749	1222	3814.0	11.300472	doublet	0.883744895458221	Activated CD4 T	0	0	0
17246750	1092	3770.0	9.177719	doublet	0.999817192554474	CD8 Tmem	0	0	0
17246755	1263	3774.0	5.882353	singlet	0.0512259677052498	Treg	2	0	4
17246756	1086	3751.0	4.9853373	singlet	0.0137302400544286	Activated CD8 T	0	0	0
17246757	1385	3760.0	12.047873	doublet	0.999044001102448	Treg	2	0	4
17246759	1193	3711.0	8.946376	doublet	0.343094497919083	Activated CD4 T	0	0	0
17246762	1206	3722.0	6.3944116	singlet	0.200561001896858	Activated CD4 T	0	0	0
17246780	1277	3506.0	8.870508	doublet	0.997887909412384	Activated CD8 T	0	0	2
17246783	1400	3545.0	8.942172	doublet	0.99873286485672	NK cell	3	3	8
17246786	1329	3513.0	8.169656	doublet	0.982379794120789	Activated CD4 T	0	0	0
17246787	1237	3554.0	7.3438377	doublet	0.381930202245712	Treg	2	0	4
17246791	1173	3522.0	10.3066435	singlet	0.00701242638751864	Activated CD4 T	0	0	0
17246797	1250	3516.0	4.1240044	singlet	3.87690597563051e-05	Activated CD4 T	0	0	0
17246804	1213	3448.0	7.569606	singlet	0.21638710796833	Activated CD4 T	0	0	0
17246805	1247	3358.0	4.675402	doublet	0.999902486801147	CD8 Tmem	0	0	2
17246806	1073	3436.0	8.614668	singlet	0.210867077112198	Activated CD4 T	0	0	0
17246814	1108	3413.0	4.658658	doublet	0.999996781349182	Activated CD8 T	0	0	0
17246821	1181	3297.0	10.979678	doublet	0.73067843914032	Activated CD8 T	6	1	7
17246824	979	3285.0	6.757991	singlet	0.000438357819803059	Activated CD4 T	0	0	0
17246827	1106	3176.0	11.27204	doublet	0.413310796022415	NK cell	3	3	8
17246830	1210	3248.0	11.945813	singlet	0.0115488432347775	Activated CD4 T	0	0	3
17246832	1228	3245.0	7.3959937	doublet	0.847773969173431	NK cell	3	3	8
17246843	1114	3148.0	6.321474	doublet	0.327306777238846	Treg	2	0	4
17246847	1106	3103.0	7.6699963	doublet	0.520085513591766	CD8 Tmem	7	0	2
17246853	982	2857.0	11.830591	doublet	0.627302408218384	Activated CD8 T	0	0	3
17246855	1095	3060.0	10.03268	singlet	1.20359045467922e-05	Activated CD4 T	0	0	0
17246860	928	2882.0	13.358779	doublet	0.469696879386902	CD8 Tmem	0	0	2
17246862	962	2848.0	10.393258	doublet	0.965660095214844	CD8 Tmem	7	0	2
17246884	867	2543.0	6.370429	doublet	0.810465097427368	Activated CD4 T	2	0	4
17246888	931	2447.0	5.639559	singlet	8.30194330774248e-05	Activated CD4 T	2	0	4
17246890	774	2420.0	10.413223	doublet	0.893000781536102	Activated CD4 T	0	0	3
17246892	1036	2406.0	4.6134663	singlet	2.0238207980583e-06	Activated CD4 T	2	0	4
17246893	847	2372.0	9.485666	singlet	0.000649674970190972	Activated CD4 T	0	0	3
17246899	905	2280.0	8.85965	singlet	0.000179506401764229	Activated CD4 T	2	0	4
17246903	800	2174.0	7.359706	singlet	0.124130494892597	Activated CD4 T	0	0	0
17246907	833	2005.0	17.206984	singlet	0.0252263322472572	Activated CD4 T	0	0	3
17246908	914	1957.0	14.767501	singlet	0.000153189030243084	Activated CD8 T	0	0	3
17246914	612	1528.0	18.848167	singlet	8.44753594719805e-06	Activated CD4 T	0	0	3
