file_path	file_size_gb	mtime	parent_dir	likely_dataset_id	chemistry_hint	species_hint	appears_complete	md5_available	category	disposition	reason
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/naive_45_trimmed_v2.fastq.gz	0.0908	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/th1_46_trimmed.fastq.gz	0.5708	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/th1_46_trimmed_v2.fastq.gz	0.1597	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/th1_47_trimmed.fastq.gz	0.6008	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/th1_47_trimmed_v2.fastq.gz	0.2052	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/th1_48_trimmed.fastq.gz	0.6386	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/th1_48_trimmed_v2.fastq.gz	0.1846	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/treg_49_trimmed.fastq.gz	0.5993	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/treg_49_trimmed_v2.fastq.gz	0.1047	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/treg_50_trimmed.fastq.gz	0.5213	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/treg_50_trimmed_v2.fastq.gz	0.1005	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/treg_51_trimmed.fastq.gz	0.5739	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed/treg_51_trimmed_v2.fastq.gz	0.092	2025-12-26	/mnt/nvme1/miRNA_01052026Ang/mirna_project/trimmed				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Agnieszka 02-20-2026/23047FL-73-02-02_S39_L007_R1_001.fastq.gz	55.8002	2026-02-20	/mnt/nvme2/Agnieszka 02-20-2026				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Agnieszka 02-20-2026/23047FL-73-02-02_S39_L007_R2_001.fastq.gz	44.7762	2026-02-20	/mnt/nvme2/Agnieszka 02-20-2026				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Katherine/23047FL-57-01-05_S5_L006_R1_001.fastq.gz	17.0029	2025-04-02	/mnt/nvme2/Katherine				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Katherine/23047FL-57-01-05_S5_L006_R2_001.fastq.gz	16.6988	2025-04-02	/mnt/nvme2/Katherine				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Katherine/23047FL-57-01-06_S6_L006_R1_001.fastq.gz	18.2959	2025-04-02	/mnt/nvme2/Katherine				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Katherine/23047FL-57-01-06_S6_L006_R2_001.fastq.gz	17.975	2025-04-02	/mnt/nvme2/Katherine				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Katherine/additional fastq files/Katherine 04-16-2025/23047FL-57-01-05_S0_L001_R1_001.fastq.gz	5.1508	2025-04-16	/mnt/nvme2/Katherine/additional fastq files/Katherine 04-16-2025				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Katherine/additional fastq files/Katherine 04-16-2025/23047FL-57-01-05_S0_L001_R2_001.fastq.gz	5.1517	2025-04-16	/mnt/nvme2/Katherine/additional fastq files/Katherine 04-16-2025				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Katherine/additional fastq files/Katherine 04-16-2025/23047FL-57-01-06_S0_L001_R1_001.fastq.gz	5.5173	2025-04-16	/mnt/nvme2/Katherine/additional fastq files/Katherine 04-16-2025				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
/mnt/nvme2/Katherine/additional fastq files/Katherine 04-16-2025/23047FL-57-01-06_S0_L001_R2_001.fastq.gz	5.5161	2025-04-16	/mnt/nvme2/Katherine/additional fastq files/Katherine 04-16-2025				yes	no	user_excluded	skip	Folder on user's 2026-05-17 exclude list — do not use.
