cell	mad3_outlier	mad5_outlier
64017068	FALSE	FALSE
64017072	FALSE	FALSE
64017089	TRUE	TRUE
64017092	FALSE	FALSE
64017097	FALSE	FALSE
64017100	FALSE	FALSE
64017104	FALSE	FALSE
64017105	FALSE	FALSE
64017113	FALSE	FALSE
64017116	FALSE	FALSE
64017123	FALSE	FALSE
64017125	FALSE	FALSE
64017161	FALSE	FALSE
64017164	TRUE	TRUE
64017170	FALSE	FALSE
64017180	FALSE	FALSE
64017182	FALSE	FALSE
64017183	FALSE	FALSE
64017195	FALSE	FALSE
64017196	FALSE	FALSE
64017211	FALSE	FALSE
64017215	FALSE	FALSE
64017218	FALSE	FALSE
64017224	FALSE	FALSE
64017253	FALSE	FALSE
64017254	FALSE	FALSE
64017265	FALSE	FALSE
64017280	TRUE	TRUE
64017283	FALSE	FALSE
64017311	FALSE	FALSE
64017313	TRUE	TRUE
64017315	FALSE	FALSE
64017325	FALSE	FALSE
64017346	TRUE	FALSE
64017358	TRUE	TRUE
64017360	TRUE	TRUE
64017370	FALSE	FALSE
64017371	FALSE	FALSE
64017372	TRUE	TRUE
64017373	FALSE	FALSE
64017377	FALSE	FALSE
64017378	TRUE	TRUE
64017381	FALSE	FALSE
64017387	FALSE	FALSE
64017399	TRUE	FALSE
64017400	FALSE	FALSE
64017401	FALSE	FALSE
64017403	FALSE	FALSE
64017444	FALSE	FALSE
64017445	FALSE	FALSE
64017447	FALSE	FALSE
64017469	FALSE	FALSE
64017473	FALSE	FALSE
64017474	FALSE	FALSE
64017492	FALSE	FALSE
64017498	FALSE	FALSE
64017512	FALSE	FALSE
64017533	FALSE	FALSE
64017534	FALSE	FALSE
64017548	FALSE	FALSE
64017568	FALSE	FALSE
64017600	FALSE	FALSE
64017601	FALSE	FALSE
64017610	FALSE	FALSE
64017628	FALSE	FALSE
64017635	FALSE	FALSE
64017641	TRUE	FALSE
64017645	FALSE	FALSE
64017651	TRUE	TRUE
64017661	TRUE	FALSE
64017664	FALSE	FALSE
64017666	FALSE	FALSE
64017668	FALSE	FALSE
64017669	TRUE	TRUE
64017697	FALSE	FALSE
64017700	FALSE	FALSE
64017702	TRUE	TRUE
64017707	FALSE	FALSE
64017724	FALSE	FALSE
64017725	TRUE	TRUE
64017726	FALSE	FALSE
