cell	n_genes_by_counts	total_counts	pct_counts_mt
105604029	1559	3832.0	4.4363256
105604030	1229	3044.0	6.274638
105604060	2392	7241.0	3.6044745
105604123	2288	7775.0	1.607717
105604134	1076	2460.0	3.1300812
105604144	2729	8724.0	1.2608895
105604156	2923	12353.0	1.6595159
105604190	2567	7195.0	2.7658095
105604234	2243	7522.0	1.7149694
105604257	944	1713.0	4.962055
105604354	1963	6053.0	4.4275565
105604422	2538	8165.0	3.306797
105604432	2320	6512.0	5.7125306
105604437	2630	8840.0	3.8009052
105604653	983	1739.0	4.7153535
105604659	2029	6235.0	4.715317
105604745	2279	7168.0	3.90625
105604773	1925	5111.0	4.324007
105604826	2632	7507.0	3.916345
105605104	2326	7216.0	3.4645233
105605134	2211	6578.0	2.1283064
105605179	1725	3871.0	3.5908036
105605283	2087	5849.0	3.7271328
105605345	2561	7877.0	1.9042783
105605365	2386	7170.0	1.3947002
105605373	1498	3313.0	3.712647
105605394	1482	3406.0	2.524956
105605422	1822	4306.0	2.5777984
105605426	3060	9391.0	3.7269726
105605491	2278	7664.0	2.322547
105605509	2072	5382.0	2.9171312
105605551	2753	8482.0	2.2282481
105605563	1494	4482.0	2.6550646
105605668	984	2509.0	2.550817
105605716	1266	3708.0	1.7529666
105605722	1013	2663.0	3.2294405
105605753	1350	3703.0	5.184985
105605834	1353	4045.0	1.3349814
105605905	1341	4476.0	1.9660411
105605936	1458	5572.0	2.063891
105605966	1300	3984.0	2.5351405
105605982	1006	3148.0	1.8742058
105606065	1003	2785.0	1.4362657
105606087	1311	4116.0	2.8911564
105606270	1097	3415.0	2.079063
105606290	1207	3572.0	2.8555431
105606312	1423	4225.0	1.7514793
105606338	1251	4551.0	2.0874534
105606356	1445	4795.0	1.6266944
105606429	1199	4244.0	2.4505184
105606548	1165	3827.0	2.1949308
105606557	1217	4048.0	1.2598815
105606680	1258	3638.0	3.3809786
105606826	1264	3797.0	1.3958389
105606829	1972	5976.0	2.4598393
105606964	953	2693.0	1.4110657
105607022	1331	4540.0	1.8061674
105607052	1264	4192.0	2.0276718
105607077	1157	3372.0	0.9489917
105607096	1355	4480.0	1.4955356
105607150	1508	4887.0	1.903008
105607208	1303	4613.0	1.3006719
105607231	1164	4053.0	2.1959043
105607273	1240	4602.0	2.2164276
105607274	1247	3985.0	2.208281
105607334	1334	4286.0	1.7265515
105607341	1472	5240.0	1.3931298
105607356	1425	5543.0	2.8684828
105607476	1613	5781.0	1.3319495
105607478	1368	3964.0	1.765893
105607742	1372	4450.0	1.9325843
105607794	1444	4979.0	2.149026
105607853	882	2942.0	3.0591433
105607876	1269	4163.0	2.3780928
105607951	1442	4451.0	2.8982253
105607991	1614	5996.0	2.084723
105608117	1720	5847.0	2.0010262
105608169	1072	3827.0	1.6723282
105608203	1227	4137.0	1.4744984
105608208	1077	3334.0	0.989802
105608227	1531	5000.0	2.94
105608294	1399	3448.0	2.262181
105608317	1385	3642.0	2.1416805
105608324	1355	4008.0	3.1686625
105608328	1497	4496.0	1.7126335
105608377	1951	5822.0	1.7004466
105608382	1233	3455.0	2.7496383
105608400	1634	4654.0	5.1353674
105608412	1363	4143.0	2.4861212
105608493	1695	5613.0	3.6700516
105608502	1585	4606.0	5.514546
105608533	1309	4761.0	2.5834908
105608553	1383	4662.0	3.8610036
105608568	1612	4677.0	5.04597
105608668	3462	15825.0	2.2180095
105608712	1858	6231.0	3.0171723
105608917	1893	6141.0	2.7031426
105608987	1260	3444.0	2.7293844
105609044	2183	6537.0	2.6005814
105609072	1278	4270.0	4.355972
105609115	2338	8066.0	3.0126457
105609117	1412	4336.0	2.0064576
105609169	1587	5286.0	3.4998107
105609221	1576	4895.0	2.8192031
105609245	1578	5853.0	1.7085257
105609269	1624	4566.0	3.131844
105609289	1501	6295.0	2.9706116
105609296	1172	3348.0	3.2855437
105609347	1964	6820.0	3.4457479
105609376	2928	8879.0	2.1173556
105609488	1244	2896.0	2.1063538
105609506	1318	3161.0	3.2584627
105609625	1611	4279.0	4.6272492
105609693	2449	7987.0	1.6276449
105609737	1477	4097.0	2.9533806
105609739	1267	3368.0	4.186461
105609794	2657	8825.0	3.467422
105609901	3013	10569.0	3.8508847
105610001	2195	6800.0	4.279412
105610035	2467	8232.0	2.9033043
105610096	3065	13850.0	2.2888086
105610204	1188	2523.0	3.5275466
105610281	1239	2629.0	2.2441993
105610297	1568	3469.0	2.5655808
105610331	1499	3403.0	5.08375
105610369	999	1749.0	3.4877074
105610404	1765	4021.0	3.9542403
105610461	2103	5606.0	4.3703175
105610494	1464	3136.0	2.0408163
105610536	2596	5999.0	3.6506083
105610542	1480	3401.0	2.793296
105610560	1720	3607.0	2.772387
105610577	1706	4015.0	1.8929015
105610702	1070	2286.0	4.8556433
105610743	1742	3962.0	3.3064108
105610747	1631	3657.0	4.7033086
105610791	1804	3897.0	1.2573775
105610806	1540	3165.0	2.4328594
105610830	1417	3032.0	4.5844326
105610900	1806	4079.0	3.138024
105610917	1575	3490.0	3.8681946
105610927	2006	4659.0	2.1034558
105610928	1685	3985.0	4.140527
105610961	1720	3982.0	2.913109
105610994	1373	3283.0	7.066707
105611029	1663	3561.0	3.3979218
105611104	1653	3817.0	2.6198585
105611171	1131	2476.0	3.2310176
105611270	3702	15019.0	1.7511152
105611433	993	2287.0	4.2850895
105611447	1870	6335.0	2.115233
105611500	1407	4037.0	0.76789695
105611611	1373	4748.0	2.3378265
105611640	1431	3557.0	3.0924938
105611735	2116	5260.0	1.9771863
105611888	1937	6046.0	2.6463776
105611951	3560	16991.0	2.7308576
105612019	1658	5261.0	1.4826078
105612059	886	2391.0	2.0075283
105612163	1086	3327.0	1.8034265
105612201	1251	3934.0	1.7793593
105612251	1049	3118.0	3.848621
105612277	1235	3714.0	3.7964458
105612287	1083	3247.0	3.603326
105612344	1132	3058.0	2.2890778
105612427	919	2297.0	2.1332173
105612662	1045	2895.0	2.659758
105612694	1047	2844.0	3.0942333
105612722	1036	3256.0	2.4570024
105612783	1711	5062.0	2.4298697
105612791	1195	3396.0	3.268551
105612796	1093	2948.0	4.0366354
105612818	847	2356.0	4.1171474
105612879	883	2346.0	3.4100597
105612914	1177	3245.0	3.6979969
105613007	718	1336.0	3.2185628
105613009	1351	3676.0	3.2372143
105613110	1260	3573.0	3.8343127
105613175	3266	16579.0	4.0533204
105613209	1505	3717.0	2.5020177
105613214	1539	3414.0	3.1048625
105613219	1582	4067.0	2.9259896
105613228	1631	3937.0	2.2098043
105613232	1782	4599.0	3.392042
105613235	1530	3501.0	3.541845
105613305	2707	7320.0	4.180328
105613318	2879	9141.0	3.0412428
105613340	1677	4972.0	2.29284
105613395	1821	5859.0	2.543096
105613400	1332	3351.0	5.2820053
105613466	1589	4734.0	2.4081116
105613578	1833	5018.0	3.7265844
105613617	1712	4707.0	2.0820055
105613622	1509	3843.0	4.3455634
105613624	1708	4530.0	3.4437087
105613808	1257	3478.0	4.284071
105613968	1573	4497.0	2.4460752
105614028	1090	3227.0	7.065386
105614040	1141	3454.0	3.763752
105614050	1470	4791.0	3.46483
105614093	1502	4548.0	3.583993
105614196	1357	3460.0	3.0057802
105614285	1137	3335.0	2.2788606
105614293	1619	4699.0	1.5960842
105614308	1866	6090.0	1.9376026
105614333	1721	5175.0	1.8937198
105614359	1563	5147.0	6.333787
105614405	1273	3836.0	5.9176226
