dataset_id	chemistry	species	tissue_class	tool_a	tool_b	n_common_genes	n_common_cells	rho_gene_total	rho_cell_total_umi	log2_median	log2_iqr	log2_p05	log2_p95	pct_A_higher	pct_B_higher	pct_tie	det_rate_A	det_rate_B	det_rate_A_intersect	det_rate_B_intersect
10x_pbmc_10k_v3.1	3p_v3	human	PBMC	star_default	kb_count	63241	1372845	0.9604851264609439	0.8201633326954961	0.0	0.04629365227393494	-1.0	0.1728616983427143	0.09269303141949052	0.3783463259594251	0.5289606426210844	0.5367562182761183	0.5700415869451779	0.5367562182761183	0.5700415869451779
10x_pbmc_10k_v3.1	3p_v3	human	PBMC	star_cr_mimic	alevin_fry	63241	120338	0.6102561032386943	0.9767652721487075	0.5849625007211562	3.700439718141092	0.0	9.64565843240871	0.5218450056134469	0.009329390743346879	0.46882560364320613	0.5327240239717904	0.3728277541468351	0.5327240239717904	0.19760914596543383
10x_pbmc_10k_v3.1	3p_v3	human	PBMC	star_cr_mimic	kb_count	63241	1372346	0.9615470425774272	0.8839307501549205	0.0	0.03326366766601271	-1.0	0.12064535407986103	0.10200660963615377	0.36248636169573534	0.5355070286681108	0.5327240239717904	0.5700415869451779	0.5327240239717904	0.5700415869451779
10x_pbmc_10k_v3.1	3p_v3	human	PBMC	alevin_fry	kb_count	189723	119816	0.6063941132519404	0.9792252113979595	-1.0	3.9068905956085187	-9.663558104217273	0.0	0.005012570958713493	0.5623725115036131	0.43261491753767334	0.3728277541468351	0.5700415869451779	0.19760914596543383	0.5700415869451779
10x_t_3k_v2	3p_v2	human	PBMC	star_default	star_cr_mimic	63241	353858	0.9597225570541369	0.9744763623764254	0.0	0.0544477840223765	0.0	1.0	0.29461899716955775	0.03067630176625923	0.674704701064183	0.44271912208851855	0.414114261317816	0.44271912208851855	0.414114261317816
10x_t_3k_v2	3p_v2	human	PBMC	star_default	alevin_fry	63241	252049	0.48139065576741974	0.9721905725942406	0.0	2.739368084381511	0.0	7.851749041416057	0.4366787368953685	0.005233946332284436	0.558087316772347	0.44271912208851855	0.2843513965096483	0.44271912208851855	0.1120950016603153
10x_t_3k_v2	3p_v2	human	PBMC	star_default	kb_count	63241	348752	0.9245246157263901	0.9619138794132976	0.0	0.11864449649861906	-1.5849625007211563	0.030161970510252364	0.05230783826947708	0.3742508815483626	0.5734412801821603	0.44271912208851855	0.5003399693236983	0.44271912208851855	0.5003399693236983
10x_t_3k_v2	3p_v2	human	PBMC	star_cr_mimic	alevin_fry	63241	252066	0.49746718806157253	0.977194192014203	0.0	2.321928094887362	0.0	7.6293566200796095	0.40725162473711674	0.006119447826568207	0.586628927436315	0.414114261317816	0.2843513965096483	0.414114261317816	0.1120950016603153
10x_t_3k_v2	3p_v2	human	PBMC	star_cr_mimic	kb_count	63241	349055	0.9048436495078374	0.9625837776643308	0.0	0.23464988709173257	-2.321928094887362	0.0	0.023228601698265367	0.41713445391439097	0.5596369443873437	0.414114261317816	0.5003399693236983	0.414114261317816	0.5003399693236983
10x_t_3k_v2	3p_v2	human	PBMC	alevin_fry	kb_count	189723	245310	0.473097682037915	0.9819230177816914	0.0	3.1699250014423126	-7.971543553950772	0.0	0.0018500656219857371	0.49700352619345045	0.5011464081845638	0.2843513965096483	0.5003399693236983	0.1120950016603153	0.5003399693236983
10x_neuron_1k_v3	3p_v3	mouse	non-PBMC	star_default	star_cr_mimic	57180	356720	0.9911660822611769	0.936888861300946	0.0	0.0	-0.04264433740849367	0.0	0.04450856942987058	0.2186079048618398	0.7368835257082896	0.44454354669464846	0.438737320741518	0.44454354669464846	0.438737320741518
10x_neuron_1k_v3	3p_v3	mouse	non-PBMC	star_default	alevin_fry	57180	103370	0.7288647583554663	0.9326371689960343	0.0	2.584962500721156	0.0	6.894817763307944	0.43649877579573276	0.005369010143406785	0.5581322140608604	0.44454354669464846	0.3339162877462982	0.44454354669464846	0.2216859041622945
