dataset_id	tissue	organism	dataset_size_cells	threshold	genes_total	genes_retained	cells_retained	hvg_overlap	pct_hvg_lost	median_genes_per_cell
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	30000	20	53384	16647	30000	0.9685	1.6	1711.0
6c6b4c47-096d-4084-97e7-714ee10c556c	exocrine gland	Mus musculus	30000	50	53384	15341	30000	0.9455	2.8	1710.0
a2da8d7b-54a8-47d1-a0d3-aafcd0535f00	adipose tissue	Mus musculus	30000	1	53384	24445	30000	0.996	0.2	1355.5
a2da8d7b-54a8-47d1-a0d3-aafcd0535f00	adipose tissue	Mus musculus	30000	3	53384	23771	30000	1.0	0.0	1355.0
a2da8d7b-54a8-47d1-a0d3-aafcd0535f00	adipose tissue	Mus musculus	30000	5	53384	22845	30000	0.995	0.25	1355.0
a2da8d7b-54a8-47d1-a0d3-aafcd0535f00	adipose tissue	Mus musculus	30000	10	53384	21364	30000	0.9881	0.6	1355.0
a2da8d7b-54a8-47d1-a0d3-aafcd0535f00	adipose tissue	Mus musculus	30000	20	53384	19861	30000	0.9714	1.45	1355.0
a2da8d7b-54a8-47d1-a0d3-aafcd0535f00	adipose tissue	Mus musculus	30000	50	53384	17874	30000	0.9446	2.85	1353.5
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	30000	1	53384	19922	30000	1.0	0.0	1501.0
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	30000	3	53384	19921	30000	1.0	0.0	1501.0
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	30000	5	53384	19919	30000	1.0	0.0	1501.0
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	30000	10	53384	19840	30000	0.993	0.35	1501.0
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	30000	20	53384	18945	30000	0.9212	4.1	1501.0
b6f472f1-a58d-43a7-a898-2d6822a0b2b2	nervous system	Mus musculus	30000	50	53384	17053	30000	0.7913	11.65	1498.0
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	30000	1	53384	23573	30000	0.995	0.25	2910.0
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	30000	3	53384	21827	30000	1.0	0.0	2910.0
4c4cfb38-c2af-4524-8ef8-bbcf1b6e2670	forelimb	Mus musculus	30000	5	53384	20886	30000	0.992	0.4	2910.0
