dataset_id	tissue	organism	tool	cell_type	precision	recall	f1	n_cells
b61a921b-7fa3-4b42-b455-aaaf32447920	respiratory system	Homo sapiens	MarkerScore	NK cells	0.28240963855421686	0.9949066213921901	0.43993993993993996	1178
b61a921b-7fa3-4b42-b455-aaaf32447920	respiratory system	Homo sapiens	MarkerScore	T cells	0.9987424020121568	0.45923284502698536	0.6291674919125899	10376
80a2c5b6-02e7-4fc0-9f12-179f5247c1bc	small intestine	Homo sapiens	MarkerScore	Endothelial	0.8883305415968733	0.957568462232922	0.9216509775524981	3323
80a2c5b6-02e7-4fc0-9f12-179f5247c1bc	small intestine	Homo sapiens	MarkerScore	Fibroblasts	0.9376237623762376	0.9978925184404637	0.9668198060234814	2847
80a2c5b6-02e7-4fc0-9f12-179f5247c1bc	small intestine	Homo sapiens	MarkerScore	Hepatocytes	0.0	0.0	0.0	0
80a2c5b6-02e7-4fc0-9f12-179f5247c1bc	small intestine	Homo sapiens	MarkerScore	Macrophages	0.8243114909781576	0.949671772428884	0.8825622775800712	914
80a2c5b6-02e7-4fc0-9f12-179f5247c1bc	small intestine	Homo sapiens	MarkerScore	NK cells	0.6203703703703703	0.8445378151260504	0.7153024911032029	714
80a2c5b6-02e7-4fc0-9f12-179f5247c1bc	small intestine	Homo sapiens	MarkerScore	T cells	0.9832886646697147	0.86625	0.9210662334785498	7200
9f1a899f-05a0-44c5-8aa9-39df61ae4324	eye	Homo sapiens	MarkerScore	Endothelial	0.5873556691273898	0.9910571702331523	0.7375802234371286	3131
9f1a899f-05a0-44c5-8aa9-39df61ae4324	eye	Homo sapiens	MarkerScore	Fibroblasts	0.9856536674075571	0.7667400188619931	0.8625232074971267	6362
9f1a899f-05a0-44c5-8aa9-39df61ae4324	eye	Homo sapiens	MarkerScore	Hepatocytes	0.0	0.0	0.0	0
9f1a899f-05a0-44c5-8aa9-39df61ae4324	eye	Homo sapiens	MarkerScore	Macrophages	0.8979857050032488	0.8030214991284137	0.8478527607361963	3442
9f1a899f-05a0-44c5-8aa9-39df61ae4324	eye	Homo sapiens	MarkerScore	NK cells	0.26026119402985076	0.7728531855955678	0.38939288206559663	361
9f1a899f-05a0-44c5-8aa9-39df61ae4324	eye	Homo sapiens	MarkerScore	T cells	0.9518413597733711	0.19753086419753085	0.32716650438169426	1701
9fcb0b73-c734-40a5-be9c-ace7eea401c9	mucosa	Homo sapiens	MarkerScore	Endothelial	0.9305289993626513	0.8926933659431366	0.9112185988453737	3271
9fcb0b73-c734-40a5-be9c-ace7eea401c9	mucosa	Homo sapiens	MarkerScore	Fibroblasts	0.90053460889139	0.999843798812871	0.9475943745373797	6402
9fcb0b73-c734-40a5-be9c-ace7eea401c9	mucosa	Homo sapiens	MarkerScore	Macrophages	0.9377652050919377	0.8532818532818532	0.8935309973045822	777
9fcb0b73-c734-40a5-be9c-ace7eea401c9	mucosa	Homo sapiens	MarkerScore	NK cells	0.22094594594594594	0.7250554323725056	0.338684619368203	451
9fcb0b73-c734-40a5-be9c-ace7eea401c9	mucosa	Homo sapiens	MarkerScore	T cells	0.952808112324493	0.596435546875	0.7336336336336337	4096
e7c5ba7e-4be0-4696-af50-a07d0dc7aac5	skin of body	Homo sapiens	MarkerScore	Endothelial	0.09316920106203234	0.2992248062015504	0.1420946070311062	1290
e7c5ba7e-4be0-4696-af50-a07d0dc7aac5	skin of body	Homo sapiens	MarkerScore	Fibroblasts	0.35731414868105515	0.030944963655244028	0.05695718654434251	4815
e7c5ba7e-4be0-4696-af50-a07d0dc7aac5	skin of body	Homo sapiens	MarkerScore	Hepatocytes	0.0	0.0	0.0	0
e7c5ba7e-4be0-4696-af50-a07d0dc7aac5	skin of body	Homo sapiens	MarkerScore	Macrophages	0.13302752293577982	0.011439842209072978	0.021067925899019253	2535
e7c5ba7e-4be0-4696-af50-a07d0dc7aac5	skin of body	Homo sapiens	MarkerScore	NK cells	0.2353870458135861	0.043288785589773386	0.07312883435582822	3442
e7c5ba7e-4be0-4696-af50-a07d0dc7aac5	skin of body	Homo sapiens	MarkerScore	T cells	0.17183544303797468	0.18621399176954734	0.17873601053324556	2916
cda2c8cd-be1c-42e5-b2cd-162caa1c4ce7	endocrine gland	Homo sapiens	MarkerScore	Endothelial	0.9615115465360392	0.9835361488904796	0.9723991507430998	1397
cda2c8cd-be1c-42e5-b2cd-162caa1c4ce7	endocrine gland	Homo sapiens	MarkerScore	Fibroblasts	0.9892435808466343	0.9989488437281009	0.9940725244072525	2854
cda2c8cd-be1c-42e5-b2cd-162caa1c4ce7	endocrine gland	Homo sapiens	MarkerScore	Hepatocytes	0.0	0.0	0.0	0
cda2c8cd-be1c-42e5-b2cd-162caa1c4ce7	endocrine gland	Homo sapiens	MarkerScore	Macrophages	0.8442622950819673	0.9856459330143541	0.9094922737306843	209
cda2c8cd-be1c-42e5-b2cd-162caa1c4ce7	endocrine gland	Homo sapiens	MarkerScore	NK cells	0.9754098360655737	0.7484276729559748	0.8469750889679716	477
