gene	cell_type	organism	tissue	n_datasets	mean_AUC	sd_AUC	ci_lower	ci_upper	mw_pval	reliability_score
C1QA	Fibroblasts	Homo sapiens	multiple	11	0.4617	0.0546	0.4548	0.469	0.00e+00	0.4365
CD8A	Endothelial	Homo sapiens	multiple	11	0.4681	0.0676	0.4649	0.4714	0.00e+00	0.4364
CD3D	Macrophages	Mus musculus	multiple	17	0.4702	0.0725	0.466	0.4744	0.00e+00	0.4361
CDH5	T cells	Mus musculus	multiple	13	0.4574	0.0475	0.4529	0.4628	0.00e+00	0.4357
CD4	Endothelial	Homo sapiens	multiple	11	0.4758	0.0849	0.4704	0.4814	0.00e+00	0.4354
CD8A	Hepatocytes	Homo sapiens	multiple	7	0.4532	0.0394	0.4501	0.4565	0.00e+00	0.4353
ALB	Endothelial	Mus musculus	multiple	12	0.4734	0.0809	0.4701	0.477	3.52e-102	0.4351
ALB	Macrophages	Mus musculus	multiple	12	0.4747	0.085	0.4715	0.4783	1.67e-228	0.4344
CD68	Fibroblasts	Mus musculus	multiple	13	0.4645	0.0653	0.4536	0.4812	5.16e-245	0.4342
CYP3A4	Macrophages	Mus musculus	multiple	9	0.4712	0.0818	0.4683	0.474	1.92e-146	0.4326
C1QA	NK cells	Mus musculus	multiple	8	0.4552	0.0521	0.4396	0.4734	1.88e-118	0.4315
CD8A	Fibroblasts	Homo sapiens	multiple	11	0.4549	0.0532	0.4522	0.4578	0.00e+00	0.4307
CD4	Fibroblasts	Homo sapiens	multiple	11	0.4553	0.0548	0.449	0.4619	0.00e+00	0.4303
CYP3A4	Endothelial	Mus musculus	multiple	9	0.4683	0.0826	0.4656	0.4713	9.34e-101	0.4296
C1QA	Fibroblasts	Mus musculus	multiple	13	0.4564	0.0591	0.4458	0.4678	2.06e-284	0.4294
CD68	T cells	Mus musculus	multiple	12	0.4597	0.0686	0.4514	0.4706	0.00e+00	0.4282
MRC1	Fibroblasts	Homo sapiens	multiple	10	0.4501	0.0541	0.4444	0.456	0.00e+00	0.4257
LUM	Endothelial	Homo sapiens	multiple	11	0.4548	0.0668	0.4502	0.4596	0.00e+00	0.4244
CD3D	Fibroblasts	Mus musculus	multiple	14	0.4638	0.0856	0.4616	0.4664	2.80e-155	0.4241
CD3E	Fibroblasts	Mus musculus	multiple	13	0.4643	0.087	0.4618	0.4673	1.61e-181	0.4239
CYP3A4	Fibroblasts	Mus musculus	multiple	7	0.463	0.0851	0.4568	0.4691	6.49e-69	0.4235
CD68	Endothelial	Mus musculus	multiple	16	0.4544	0.0698	0.4491	0.461	0.00e+00	0.4227
TTR	Endothelial	Mus musculus	multiple	17	0.4695	0.0998	0.4636	0.4771	0.00e+00	0.4226
CD4	Hepatocytes	Homo sapiens	multiple	7	0.4406	0.0419	0.4343	0.4471	3.99e-303	0.4221
MRC1	NK cells	Homo sapiens	multiple	8	0.4415	0.0461	0.431	0.4567	0.00e+00	0.4212
C1QA	NK cells	Homo sapiens	multiple	9	0.4393	0.0427	0.4298	0.4508	0.00e+00	0.4205
MRC1	NK cells	Mus musculus	multiple	9	0.4471	0.0608	0.441	0.4553	1.03e-194	0.4199
PECAM1	NK cells	Homo sapiens	multiple	8	0.438	0.0449	0.4172	0.4674	0.00e+00	0.4183
CD68	NK cells	Homo sapiens	multiple	9	0.4417	0.0533	0.4385	0.4452	0.00e+00	0.4181
LUM	NK cells	Mus musculus	multiple	8	0.4501	0.0711	0.439	0.4637	3.16e-50	0.4181
TTR	Macrophages	Mus musculus	multiple	17	0.4639	0.0998	0.4587	0.4697	0.00e+00	0.4176
TTR	Fibroblasts	Mus musculus	multiple	14	0.4643	0.1012	0.4536	0.4811	4.64e-264	0.4173
CDH5	NK cells	Mus musculus	multiple	9	0.4442	0.0606	0.4404	0.4493	9.88e-134	0.4173
LUM	Macrophages	Homo sapiens	multiple	10	0.4498	0.073	0.4461	0.4536	0.00e+00	0.417
TTR	T cells	Mus musculus	multiple	13	0.4625	0.0993	0.4569	0.4688	1.73e-285	0.4166
NKG7	Endothelial	Homo sapiens	multiple	11	0.4448	0.0644	0.4412	0.4489	0.00e+00	0.4162
MRC1	T cells	Homo sapiens	multiple	10	0.4344	0.0445	0.43	0.4393	0.00e+00	0.4151
MRC1	Hepatocytes	Homo sapiens	multiple	6	0.4394	0.0574	0.4326	0.4466	7.97e-281	0.4142
NKG7	Fibroblasts	Homo sapiens	multiple	11	0.441	0.0642	0.4369	0.4455	0.00e+00	0.4126
APOB	NK cells	Mus musculus	multiple	8	0.4522	0.0888	0.4444	0.4627	6.10e-79	0.412
CD68	T cells	Homo sapiens	multiple	11	0.4363	0.0578	0.4328	0.4401	0.00e+00	0.411
CD4	NK cells	Homo sapiens	multiple	9	0.4282	0.0408	0.4242	0.4331	0.00e+00	0.4107
C1QA	T cells	Homo sapiens	multiple	11	0.4332	0.052	0.428	0.4385	0.00e+00	0.4107
C1QA	T cells	Mus musculus	multiple	12	0.4507	0.0896	0.4414	0.4607	0.00e+00	0.4103
PECAM1	T cells	Homo sapiens	multiple	10	0.4371	0.0649	0.4294	0.4454	0.00e+00	0.4087
LUM	T cells	Homo sapiens	multiple	11	0.4436	0.082	0.4395	0.4476	0.00e+00	0.4072
C1QA	Endothelial	Mus musculus	multiple	16	0.4447	0.0873	0.4351	0.4554	0.00e+00	0.4058
CD68	NK cells	Mus musculus	multiple	8	0.4377	0.0738	0.4278	0.4501	0.00e+00	0.4054
ALB	NK cells	Mus musculus	multiple	7	0.4509	0.102	0.4395	0.4643	6.01e-81	0.4049
COL1A1	NK cells	Mus musculus	multiple	9	0.4396	0.0789	0.4267	0.4556	2.47e-69	0.4049
DCN	Endothelial	Homo sapiens	multiple	11	0.44	0.0804	0.4321	0.4485	0.00e+00	0.4046
CD3D	Hepatocytes	Homo sapiens	multiple	7	0.4366	0.0759	0.4324	0.4417	0.00e+00	0.4035
C1QA	Hepatocytes	Homo sapiens	multiple	7	0.4325	0.0682	0.4257	0.4403	4.27e-305	0.403
COL1A1	Endothelial	Homo sapiens	multiple	11	0.4349	0.0737	0.4284	0.4421	0.00e+00	0.4029
DCN	NK cells	Mus musculus	multiple	9	0.4356	0.0754	0.4167	0.4559	1.61e-66	0.4028
LUM	NK cells	Homo sapiens	multiple	9	0.4367	0.0794	0.4323	0.4421	0.00e+00	0.4021
DCN	Macrophages	Homo sapiens	multiple	10	0.4325	0.0788	0.4263	0.4388	0.00e+00	0.3984
TTR	NK cells	Mus musculus	multiple	9	0.4435	0.1034	0.4363	0.4527	1.90e-121	0.3976
LUM	Macrophages	Mus musculus	multiple	16	0.4368	0.0912	0.4315	0.4425	0.00e+00	0.3969
COL1A1	T cells	Homo sapiens	multiple	11	0.4317	0.0871	0.4265	0.4373	0.00e+00	0.3941
PECAM1	Hepatocytes	Homo sapiens	multiple	6	0.4185	0.0637	0.4118	0.426	4.10e-300	0.3919
COL1A1	Macrophages	Homo sapiens	multiple	10	0.4259	0.08	0.4211	0.4308	0.00e+00	0.3918
LUM	Endothelial	Mus musculus	multiple	16	0.4296	0.0894	0.4226	0.4383	0.00e+00	0.3913
CD3D	Macrophages	Homo sapiens	multiple	10	0.4298	0.0898	0.4262	0.4333	0.00e+00	0.3912
COL1A1	Macrophages	Mus musculus	multiple	17	0.4293	0.089	0.4231	0.4361	0.00e+00	0.3911
PECAM1	Fibroblasts	Homo sapiens	multiple	10	0.4166	0.0619	0.4101	0.4237	0.00e+00	0.3908
CD3E	Macrophages	Homo sapiens	multiple	10	0.4281	0.0883	0.4246	0.4318	0.00e+00	0.3903
COL1A2	Endothelial	Homo sapiens	multiple	11	0.4334	0.1005	0.4256	0.4415	0.00e+00	0.3898
CD3E	Hepatocytes	Homo sapiens	multiple	7	0.4238	0.0815	0.4202	0.4284	0.00e+00	0.3893
CD3D	Endothelial	Homo sapiens	multiple	11	0.4275	0.0905	0.4239	0.4316	0.00e+00	0.3888
VWF	Hepatocytes	Mus musculus	multiple	4	0.507	0.0415	0.5034	0.5105	3.03e-63	0.3888
LUM	Hepatocytes	Mus musculus	multiple	4	0.4908	0.0133	0.4877	0.4939	3.15e-134	0.3874
CD3E	Endothelial	Homo sapiens	multiple	11	0.425	0.0898	0.4215	0.4289	0.00e+00	0.3869
COL1A2	NK cells	Mus musculus	multiple	9	0.4241	0.0894	0.4094	0.4413	4.44e-81	0.3862
COL1A1	Hepatocytes	Mus musculus	multiple	4	0.4883	0.0183	0.485	0.4914	5.30e-57	0.3835
LUM	T cells	Mus musculus	multiple	12	0.4263	0.1032	0.4194	0.4345	0.00e+00	0.3824
COL1A1	Endothelial	Mus musculus	multiple	17	0.4188	0.0955	0.412	0.4266	0.00e+00	0.3788
